source,stop_id,name,street,cross_street,municipality,status,lon,lat
GRT,11012,Keats Way at Sanford Fleming Dr,Keats Way,Sanford Fleming Dr,Waterloo,Active,-80.56489695,43.45695702
GRT,10456,Langs Dr at Fairview Mennonite Home,Langs Dr,Fairview Mennonite Home,Cambridge,Active,-80.34263301,43.39843696
GRT,13422,Highland Rd W at Westheights Dr,Highland Rd W,Westheights Dr,Kitchener,Active,-80.531695,43.429384
GRT,12984,Westmount Rd W at Union Blvd,Westmount Rd W,Union Blvd,Kitchener,Active,-80.52578763,43.45251964
GRT,11026,Westvale Dr at Eden Valley Cres,Westvale Dr,Eden Valley Cres,Waterloo,Active,-80.56014004,43.44586301
GRT,12169,Victoria St S at Joseph St,Victoria St S,Joseph St,Kitchener,Active,-80.500278,43.450557
GRT,13178,The Boardwalk Station at Stop 4001,The Boardwalk Station,Stop 4001,Kitchener,Active,-80.560344,43.435392
GRT,13527,Bingemans Centre Dr at 400 Bingemans Centre Dr,Bingemans Centre Dr,400 Bingemans Centre Dr,Kitchener,Active,-80.45251999,43.47078272
GRT,11913,Franklin St N at Bradley Dr,Franklin St N,Bradley Dr,Kitchener,Active,-80.44847501,43.44459502
GRT,13650,Waterloo St at Christner,Waterloo St,Christner,Wilmot,Active,-80.70431,43.397171
GRT,10470,King St E at Montrose St,King St E,Montrose St,Cambridge,Active,-80.34922696,43.39108003
GRT,11255,Churchill Dr at Westgate Crt,Churchill Dr,Westgate Crt,Cambridge,Active,-80.33051503,43.35388999
GRT,11991,Mill St at Ottawa St S,Mill St,Ottawa St S,Kitchener,Active,-80.47901802,43.43417197
GRT,10311,Holiday Inn Dr at Franklin Blvd,Holiday Inn Dr,Franklin Blvd,Cambridge,Active,-80.31141798,43.41798799
GRT,10254,Kerwood Dr at Gees Way,Kerwood Dr,Gees Way,Cambridge,Active,-80.293117,43.43094299
GRT,13694,Hamilton Rd at Marvin St (Flex Stop),Hamilton Rd,Marvin St (Flex Stop),Wilmot,Active,-80.696526,43.379179
GRT,10622,Coronation Blvd at Oriole Ave,Coronation Blvd,Oriole Ave,Cambridge,Active,-80.33928,43.38567202
GRT,13373,Conestoga Station at ION platform - Southbound,Conestoga Station,ION platform - Southbound,Waterloo,Active,-80.529428,43.498309
GRT,11229,Champlain Blvd at Brierdale Rd,Champlain Blvd,Brierdale Rd,Cambridge,Active,-80.29697503,43.34704
